blueWins,blueFirstBlood,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,redKills,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,bluePredWinrate,redPredWinrate
0,1.0,15623.0,-452.0,-1206.0,-45.0,3.0,4.0,3.0,16829.0,4.0,22.6,27.1,1450.5,1495.7,0.13921237013771445,0.10794877989852622,0.504968944509127,0.4874971729518936
1,1.0,19773.0,6834.0,3866.0,55.0,12.0,22.0,0.0,15907.0,0.0,32.4,26.9,2022.8,1339.4,0.1637593621647741,0.13742449867117662,0.521644341735834,0.476216447888475
1,0.0,18794.0,502.0,382.0,45.0,7.0,14.0,8.0,18412.0,10.0,32.0,27.5,1783.2,1733.0,0.1183619231698478,0.1614882821937666,0.4935002933564643,0.4832054342758672
1,0.0,17821.0,59.0,-699.0,-6.0,5.0,6.0,4.0,18520.0,5.0,29.1,29.7,1618.4,1612.5,0.21246677941531766,0.12034307803817347,0.5202620140395615,0.4834988529501443
0,1.0,14489.0,-1827.0,-2582.0,-45.0,2.0,3.0,3.0,17071.0,6.0,23.0,27.5,1375.7,1558.4,0.17008939357332692,0.11212853346218894,0.5290120704493844,0.48410178325853104
0,0.0,15351.0,-3450.0,-2519.0,-39.0,2.0,3.0,7.0,17870.0,6.0,22.9,26.8,1349.7,1694.7,0.09427397922203433,0.1164049287267456,0.461110447997716,0.4916912063012045
0,0.0,16714.0,-143.0,101.0,17.0,4.0,6.0,7.0,16613.0,7.0,27.5,25.8,1617.7,1632.0,0.11166948538294276,0.16426673109446727,0.4767578183104587,0.5067616945513878
1,1.0,19659.0,362.0,916.0,-1.0,2.0,2.0,2.0,18743.0,4.0,33.7,33.8,1588.7,1552.5,0.13643392123701376,0.20084561488282196,0.484462601604117,0.4992601828627712
0,0.0,17760.0,-667.0,-1357.0,-26.0,6.0,7.0,6.0,19117.0,8.0,26.5,29.1,1625.4,1692.1,0.1871949746315535,0.12863010388982846,0.4995420553213128,0.5203212758750468
1,1.0,18260.0,-552.0,54.0,-8.0,3.0,3.0,3.0,18206.0,7.0,29.8,30.6,1551.0,1606.2,0.1614882821937666,0.12111621164532498,0.48744677073281495,0.437000252075316
0,1.0,17067.0,1096.0,-551.0,7.0,4.0,7.0,5.0,17618.0,9.0,30.0,29.3,1745.6,1636.0,0.2182411210437304,0.13916404928726744,0.5009961991544896,0.5039410095677057
1,1.0,18581.0,1097.0,502.0,31.0,4.0,4.0,3.0,18079.0,4.0,32.3,29.2,1624.4,1514.7,0.11210437303696544,0.11328823387291614,0.4701312448862343,0.4900125654766481
0,0.0,18286.0,-1890.0,-1096.0,-64.0,1.0,2.0,1.0,19382.0,0.0,28.6,35.0,1423.2,1612.2,0.06984778932109205,0.12580333413868086,0.49818145006474196,0.4898608859022661
0,0.0,17288.0,-1947.0,-816.0,-49.0,1.0,3.0,2.0,18104.0,2.0,27.2,32.1,1377.5,1572.2,0.07612949987919787,0.14353708625271805,0.4905197277902015,0.4892772823861161
1,1.0,18719.0,2713.0,1908.0,34.0,3.0,5.0,0.0,16811.0,0.0,32.3,28.9,1634.4,1363.1,0.109035999033583,0.1337279536119836,0.4983966860940297,0.4962636967523691
1,1.0,19778.0,4347.0,3001.0,52.0,9.0,11.0,1.0,16777.0,1.0,31.0,25.8,1828.1,1393.4,0.14283643392123702,0.1249577192558589,0.4880879143327187,0.5059680632434007
1,1.0,16830.0,2118.0,290.0,12.0,5.0,12.0,3.0,16540.0,4.0,28.8,27.6,1679.0,1467.2,0.1415076105339454,0.22036723846339693,0.4830782892448309,0.5104282710029115
1,1.0,20036.0,-203.0,317.0,18.0,1.0,1.0,2.0,19719.0,7.0,37.3,35.5,1623.2,1643.5,0.2569944431021986,0.186518482725296,0.5034633047410353,0.5020347654912123
1,1.0,18306.0,1454.0,620.0,26.0,2.0,4.0,1.0,17686.0,1.0,33.4,30.8,1628.7,1483.3,0.1995651123459773,0.1354675042280744,0.5078332225248856,0.4816714805197475
0,0.0,18030.0,-394.0,-356.0,-1.0,1.0,3.0,2.0,18386.0,6.0,33.8,33.9,1586.5,1625.9,0.12672143029717325,0.2258033341386809,0.4963102710346764,0.4888756060747445
1,0.0,18044.0,-872.0,-378.0,-35.0,2.0,4.0,3.0,18422.0,8.0,31.9,35.4,1675.4,1762.6,0.17361681565595555,0.1822420874607393,0.5095776402886142,0.4957675616594119
1,1.0,18483.0,1208.0,269.0,-13.0,2.0,2.0,0.0,18214.0,0.0,32.8,34.1,1599.2,1478.4,0.23679632761536604,0.15264556656197148,0.5258901660466214,0.4844320096733062
1,1.0,19288.0,549.0,376.0,33.0,0.0,0.0,0.0,18912.0,0.0,34.2,30.9,1502.7,1447.8,0.14334380285093018,0.059531287750664415,0.4731051773941555,0.4956319596270834
0,1.0,17657.0,236.0,-18.0,24.0,1.0,1.0,1.0,17675.0,1.0,32.5,30.1,1505.8,1482.2,0.1043730369654506,0.2283643392123701,0.4973803859292197,0.5105315631810116
1,1.0,18987.0,2227.0,-166.0,10.0,3.0,5.0,0.0,19153.0,0.0,33.7,32.7,1668.6,1445.9,0.12519932350809376,0.18241121043730368,0.4930993772089384,0.4930641559255111
1,1.0,17712.0,-503.0,-391.0,21.0,2.0,1.0,6.0,18103.0,7.0,28.4,26.3,1540.6,1590.9,0.10326165740517032,0.06470161874848998,0.4918444862195454,0.5025962507937429
1,1.0,18958.0,245.0,-626.0,8.0,1.0,2.0,1.0,19584.0,1.0,33.6,32.8,1541.3,1516.8,0.2653539502295241,0.10229524039623096,0.5068364922358989,0.4575944274941971
