gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalGold,blueTotalExperience,blueTotalCS,blueGoldDiff,blueExperienceDiff,blueCsdiffat10,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalGold,redTotalExperience,redTotalCS,redAssists
EUW1/5328884341,"[('Wukong', 'top'), ('Hecarim', 'jng'), ('Syndra', 'mid'), ('Varus', 'bot'), ('Karma', 'sup')]",0,0.0,0.0,15526.0,18317.0,303.0,110.0,-128.0,-28.0,3.0,7.0,1.0,"[('Mordekaiser', 'top'), ('Xin Zhao', 'jng'), ('Anivia', 'mid'), ('Miss Fortune', 'bot'), ('Thresh', 'sup')]",0.0,15416.0,18445.0,331.0,0.0
7716-10455,"[('Gwen', 'top'), ('Xin Zhao', 'jng'), ('Lee Sin', 'mid'), (""Kai'Sa"", 'bot'), ('Nautilus', 'sup')]",0,0.0,0.0,,,,,,,,,,"[('Akali', 'top'), (""Rek'Sai"", 'jng'), ('Karma', 'mid'), ('Ezreal', 'bot'), ('Leona', 'sup')]",0.0,,,,
EUW1/5328924215,"[('Ornn', 'top'), ('Lillia', 'jng'), ('Ziggs', 'mid'), ('Sivir', 'bot'), ('Karma', 'sup')]",0,1.0,0.0,17472.0,18440.0,276.0,1767.0,1194.0,-11.0,8.0,13.0,3.0,"[('Camille', 'top'), ('Xin Zhao', 'jng'), ('Viktor', 'mid'), ('Varus', 'bot'), ('Seraphine', 'sup')]",0.0,15705.0,17246.0,287.0,6.0
EUW1/5329134106,"[('Lee Sin', 'top'), ('Xin Zhao', 'jng'), ('Azir', 'mid'), ('Ezreal', 'bot'), ('Blitzcrank', 'sup')]",0,0.0,0.0,16073.0,18250.0,288.0,-1294.0,-683.0,-12.0,5.0,9.0,6.0,"[('Sett', 'top'), ('Kindred', 'jng'), ('Janna', 'mid'), ('Ziggs', 'bot'), ('Corki', 'sup')]",0.0,17367.0,18933.0,300.0,16.0
7634-10454,"[('Lee Sin', 'top'), ('Diana', 'jng'), ('Lucian', 'mid'), ('Jinx', 'bot'), ('Thresh', 'sup')]",1,0.0,0.0,,,,,,,,,,"[('Gwen', 'top'), ('Rumble', 'jng'), ('Sett', 'mid'), (""Kog'Maw"", 'bot'), ('Lulu', 'sup')]",0.0,,,,
ESPORTSTMNT06/1840617,"[('Lulu', 'top'), ('Xin Zhao', 'jng'), ('Orianna', 'mid'), ('Tristana', 'bot'), ('Leona', 'sup')]",1,0.0,0.0,15333.0,19168.0,353.0,-540.0,-211.0,3.0,1.0,1.0,1.0,"[('Karma', 'top'), ('Diana', 'jng'), ('Jayce', 'mid'), ('Ezreal', 'bot'), ('Braum', 'sup')]",0.0,15873.0,19379.0,350.0,1.0
ESPORTSTMNT02/1960637,"[('Gnar', 'top'), ('Rumble', 'jng'), ('Azir', 'mid'), ('Varus', 'bot'), ('Tahm Kench', 'sup')]",1,1.0,0.0,15596.0,18883.0,332.0,183.0,-570.0,-21.0,2.0,4.0,0.0,"[('Viego', 'top'), ('Diana', 'jng'), ('Sett', 'mid'), ('Ezreal', 'bot'), ('Karma', 'sup')]",0.0,15413.0,19453.0,353.0,0.0
7715-10456,"[('Volibear', 'top'), ('Udyr', 'jng'), ('Ryze', 'mid'), ('Varus', 'bot'), ('Karma', 'sup')]",1,1.0,0.0,,,,,,,,,,"[('Gwen', 'top'), ('Lee Sin', 'jng'), ('LeBlanc', 'mid'), ('Senna', 'bot'), ('Sett', 'sup')]",0.0,,,,
EUW1/5329273994,"[('Corki', 'top'), ('Karthus', 'jng'), ('Gnar', 'mid'), ('Kindred', 'bot'), ('Lulu', 'sup')]",0,1.0,0.0,14071.0,16263.0,282.0,-3035.0,-3208.0,-45.0,1.0,1.0,6.0,"[('Viego', 'top'), ('Fiddlesticks', 'jng'), ('Zed', 'mid'), ('Ziggs', 'bot'), ('Nautilus', 'sup')]",0.0,17106.0,19471.0,327.0,5.0
7716-10457,"[('Gwen', 'top'), ('Rumble', 'jng'), ('Qiyana', 'mid'), (""Kai'Sa"", 'bot'), ('Rell', 'sup')]",0,1.0,0.0,,,,,,,,,,"[('Akali', 'top'), ('Lee Sin', 'jng'), ('Galio', 'mid'), ('Ezreal', 'bot'), ('Nautilus', 'sup')]",0.0,,,,
7634-10458,"[('Viego', 'top'), ('Rumble', 'jng'), ('Nocturne', 'mid'), ('Ezreal', 'bot'), ('Karma', 'sup')]",0,1.0,0.0,,,,,,,,,,"[('Gwen', 'top'), ('Xin Zhao', 'jng'), ('LeBlanc', 'mid'), ('Kalista', 'bot'), ('Nautilus', 'sup')]",0.0,,,,
EUW1/5329204285,"[('Sett', 'top'), ('Volibear', 'jng'), ('Viktor', 'mid'), ('Jinx', 'bot'), ('Seraphine', 'sup')]",0,0.0,0.0,14254.0,17501.0,295.0,-2374.0,-1938.0,-52.0,0.0,0.0,3.0,"[('Jayce', 'top'), ('Rumble', 'jng'), ('Lucian', 'mid'), ('Varus', 'bot'), ('Thresh', 'sup')]",0.0,16628.0,19439.0,347.0,4.0
ESPORTSTMNT02/1960638,"[('Viego', 'top'), ('Lee Sin', 'jng'), ('Sylas', 'mid'), ('Kalista', 'bot'), ('Rakan', 'sup')]",1,1.0,0.0,14666.0,18277.0,340.0,-132.0,-500.0,-1.0,0.0,0.0,0.0,"[('Gnar', 'top'), ('Rumble', 'jng'), ('Orianna', 'mid'), ('Ezreal', 'bot'), ('Leona', 'sup')]",0.0,14798.0,18777.0,341.0,0.0
ESPORTSTMNT06/1840622,"[('Aatrox', 'top'), ('Xin Zhao', 'jng'), ('Syndra', 'mid'), ('Samira', 'bot'), ('Rell', 'sup')]",1,0.0,0.0,15925.0,18620.0,355.0,980.0,553.0,45.0,2.0,2.0,1.0,"[('Lee Sin', 'top'), ('Sejuani', 'jng'), ('Azir', 'mid'), ('Tristana', 'bot'), ('Leona', 'sup')]",0.0,14945.0,18067.0,310.0,1.0
7715-10459,"[('Camille', 'top'), ('Rumble', 'jng'), ('Lucian', 'mid'), ('Jhin', 'bot'), ('Galio', 'sup')]",0,1.0,0.0,,,,,,,,,,"[('Viego', 'top'), ('Udyr', 'jng'), ('Viktor', 'mid'), ('Senna', 'bot'), ('Tahm Kench', 'sup')]",0.0,,,,
ESPORTSTMNT03/2001713,"[('Gwen', 'top'), ('Hecarim', 'jng'), ('Jayce', 'mid'), ('Ezreal', 'bot'), ('Yuumi', 'sup')]",1,0.0,0.0,15918.0,18303.0,294.0,1578.0,1363.0,26.0,4.0,6.0,2.0,"[('Sett', 'top'), ('Rumble', 'jng'), ('Sylas', 'mid'), ('Kalista', 'bot'), ('Rakan', 'sup')]",0.0,14340.0,16940.0,268.0,4.0
EUW1/5329184498,"[('Sylas', 'top'), ('Ziggs', 'jng'), ('Viego', 'mid'), ('Jinx', 'bot'), ('Janna', 'sup')]",0,1.0,0.0,14348.0,16568.0,259.0,-2880.0,-2530.0,-30.0,2.0,3.0,9.0,"[('Akali', 'top'), ('Lee Sin', 'jng'), ('Zed', 'mid'), ('Seraphine', 'bot'), ('Blitzcrank', 'sup')]",0.0,17228.0,19098.0,289.0,12.0
EUW1/5328924928,"[('Sett', 'top'), ('Orianna', 'jng'), ('Aphelios', 'mid'), ('Lulu', 'bot'), ('Viego', 'sup')]",0,0.0,0.0,16356.0,17897.0,259.0,-298.0,-471.0,-15.0,8.0,5.0,6.0,"[('Mordekaiser', 'top'), ('Xin Zhao', 'jng'), ('Gwen', 'mid'), ('Sivir', 'bot'), ('Karma', 'sup')]",0.0,16654.0,18368.0,274.0,7.0
ESPORTSTMNT06/1840629,"[('Jayce', 'top'), ('Rumble', 'jng'), ('Nocturne', 'mid'), ('Ezreal', 'bot'), ('Nautilus', 'sup')]",1,1.0,0.0,17047.0,19151.0,346.0,1766.0,444.0,0.0,1.0,1.0,1.0,"[('Karma', 'top'), ('Volibear', 'jng'), ('Azir', 'mid'), ('Tristana', 'bot'), ('Leona', 'sup')]",0.0,15281.0,18707.0,346.0,2.0
ESPORTSTMNT03/2001779,"[('Camille', 'top'), ('Rumble', 'jng'), ('Akali', 'mid'), ('Aphelios', 'bot'), ('Rakan', 'sup')]",1,1.0,0.0,14838.0,18575.0,334.0,-597.0,-835.0,-23.0,0.0,0.0,0.0,"[('Volibear', 'top'), ('Udyr', 'jng'), ('Tristana', 'mid'), (""Kog'Maw"", 'bot'), ('Lulu', 'sup')]",0.0,15435.0,19410.0,357.0,0.0
ESPORTSTMNT06/1840635,"[('Gwen', 'top'), ('Xin Zhao', 'jng'), ('Zoe', 'mid'), ('Ezreal', 'bot'), ('Galio', 'sup')]",1,1.0,0.0,15778.0,19591.0,348.0,705.0,1338.0,8.0,1.0,1.0,1.0,"[('Kennen', 'top'), ('Volibear', 'jng'), ('Ryze', 'mid'), (""Kai'Sa"", 'bot'), ('Rell', 'sup')]",0.0,15073.0,18253.0,340.0,0.0
EUW1/5329205057,"[('Viego', 'top'), ('Xin Zhao', 'jng'), ('Orianna', 'mid'), (""Kai'Sa"", 'bot'), ('Braum', 'sup')]",1,1.0,0.0,16428.0,18388.0,302.0,-968.0,-831.0,-7.0,5.0,9.0,7.0,"[('Jayce', 'top'), ('Rumble', 'jng'), ('Syndra', 'mid'), ('Varus', 'bot'), ('Thresh', 'sup')]",0.0,17396.0,19219.0,309.0,4.0
ESPORTSTMNT03/2001830,"[('Karma', 'top'), ('Xin Zhao', 'jng'), ('Orianna', 'mid'), ('Jinx', 'bot'), ('Thresh', 'sup')]",1,1.0,0.0,15583.0,18397.0,331.0,1303.0,790.0,16.0,1.0,2.0,0.0,"[('Viego', 'top'), (""Kha'Zix"", 'jng'), ('Syndra', 'mid'), ('Aphelios', 'bot'), ('Nautilus', 'sup')]",0.0,14280.0,17607.0,315.0,0.0
ESPORTSTMNT03/2001847,"[('Viego', 'top'), ('Volibear', 'jng'), ('LeBlanc', 'mid'), ('Varus', 'bot'), ('Nautilus', 'sup')]",0,1.0,0.0,15532.0,16858.0,289.0,1501.0,-147.0,-11.0,3.0,6.0,0.0,"[('Sett', 'top'), ('Xin Zhao', 'jng'), ('Lulu', 'mid'), ('Ezreal', 'bot'), ('Leona', 'sup')]",0.0,14031.0,17005.0,300.0,0.0
EUW1/5329155670,"[('Viego', 'top'), ('Diana', 'jng'), ('Karma', 'mid'), ('Miss Fortune', 'bot'), ('Blitzcrank', 'sup')]",0,1.0,0.0,16718.0,17726.0,303.0,796.0,226.0,37.0,5.0,9.0,6.0,"[('Fiora', 'top'), ('Nocturne', 'jng'), (""Kog'Maw"", 'mid'), ('Seraphine', 'bot'), ('Lulu', 'sup')]",0.0,15922.0,17500.0,266.0,4.0
