champions
"[(1, 100, 27, 'SOLO', 'TOP'), (2, 100, 72, 'NONE', 'JUNGLE'), (3, 100, 523, 'DUO_CARRY', 'BOTTOM'), (4, 100, 131, 'SOLO', 'MIDDLE'), (5, 100, 26, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 107, 'NONE', 'JUNGLE'), (7, 200, 110, 'DUO_CARRY', 'BOTTOM'), (8, 200, 555, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 517, 'SOLO', 'TOP'), (10, 200, 8, 'SOLO', 'MIDDLE')]"
"[(1, 100, 114, 'SOLO', 'TOP'), (2, 100, 134, 'SOLO', 'MIDDLE'), (3, 100, 429, 'DUO_CARRY', 'BOTTOM'), (4, 100, 64, 'NONE', 'JUNGLE'), (5, 100, 17, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 81, 'DUO_CARRY', 'BOTTOM'), (7, 200, 268, 'DUO', 'TOP'), (8, 200, 85, 'DUO', 'TOP'), (9, 200, 2, 'NONE', 'JUNGLE'), (10, 200, 432, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 44, 'DUO', 'BOTTOM'), (2, 100, 56, 'NONE', 'JUNGLE'), (3, 100, 517, 'SOLO', 'TOP'), (4, 100, 131, 'SOLO', 'MIDDLE'), (5, 100, 21, 'DUO', 'BOTTOM'), (6, 200, 64, 'NONE', 'JUNGLE'), (7, 200, 875, 'SOLO', 'BOTTOM'), (8, 200, 82, 'DUO', 'TOP'), (9, 200, 119, 'DUO', 'TOP'), (10, 200, 245, 'SOLO', 'MIDDLE')]"
"[(1, 100, 161, 'SOLO', 'MIDDLE'), (2, 100, 235, 'DUO_SUPPORT', 'BOTTOM'), (3, 100, 112, 'SOLO', 'TOP'), (4, 100, 202, 'DUO_CARRY', 'BOTTOM'), (5, 100, 20, 'NONE', 'JUNGLE'), (6, 200, 432, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 55, 'SOLO', 'MIDDLE'), (8, 200, 107, 'NONE', 'JUNGLE'), (9, 200, 236, 'DUO_CARRY', 'BOTTOM'), (10, 200, 122, 'SOLO', 'TOP')]"
"[(1, 100, 121, 'NONE', 'JUNGLE'), (2, 100, 350, 'DUO_SUPPORT', 'MIDDLE'), (3, 100, 142, 'DUO', 'MIDDLE'), (4, 100, 429, 'DUO', 'MIDDLE'), (5, 100, 17, 'SOLO', 'TOP'), (6, 200, 81, 'DUO', 'TOP'), (7, 200, 29, 'NONE', 'JUNGLE'), (8, 200, 518, 'SOLO', 'MIDDLE'), (9, 200, 516, 'DUO', 'TOP'), (10, 200, 432, 'DUO_SUPPORT', 'TOP')]"
"[(1, 100, 131, 'DUO_SUPPORT', 'NONE'), (2, 100, 24, 'DUO_SUPPORT', 'NONE'), (3, 100, 107, 'DUO_SUPPORT', 'NONE'), (4, 100, 74, 'DUO_SUPPORT', 'NONE'), (5, 100, 432, 'DUO_SUPPORT', 'NONE'), (6, 200, 43, 'DUO_SUPPORT', 'NONE'), (7, 200, 246, 'DUO_SUPPORT', 'NONE'), (8, 200, 60, 'DUO_SUPPORT', 'NONE'), (9, 200, 145, 'DUO_SUPPORT', 'NONE'), (10, 200, 8, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 429, 'DUO_CARRY', 'TOP'), (2, 100, 60, 'DUO_SUPPORT', 'TOP'), (3, 100, 55, 'SOLO', 'MIDDLE'), (4, 100, 21, 'DUO_CARRY', 'BOTTOM'), (5, 100, 37, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 35, 'NONE', 'JUNGLE'), (7, 200, 523, 'DUO_CARRY', 'BOTTOM'), (8, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 10, 'SOLO', 'TOP'), (10, 200, 58, 'SOLO', 'MIDDLE')]"
"[(1, 100, 117, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 96, 'DUO_CARRY', 'BOTTOM'), (3, 100, 16, 'NONE', 'JUNGLE'), (4, 100, 61, 'SOLO', 'MIDDLE'), (5, 100, 39, 'SOLO', 'TOP'), (6, 200, 32, 'NONE', 'JUNGLE'), (7, 200, 74, 'DUO_CARRY', 'BOTTOM'), (8, 200, 89, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 41, 'SOLO', 'TOP'), (10, 200, 4, 'SOLO', 'MIDDLE')]"
"[(1, 100, 18, 'DUO_CARRY', 'BOTTOM'), (2, 100, 62, 'SOLO', 'TOP'), (3, 100, 63, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 127, 'SOLO', 'MIDDLE'), (5, 100, 60, 'NONE', 'JUNGLE'), (6, 200, 432, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 8, 'SOLO', 'MIDDLE'), (8, 200, 121, 'NONE', 'JUNGLE'), (9, 200, 81, 'DUO_CARRY', 'BOTTOM'), (10, 200, 516, 'SOLO', 'TOP')]"
"[(1, 100, 105, 'NONE', 'JUNGLE'), (2, 100, 10, 'SOLO', 'MIDDLE'), (3, 100, 16, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 98, 'SOLO', 'TOP'), (5, 100, 67, 'DUO_CARRY', 'BOTTOM'), (6, 200, 59, 'NONE', 'JUNGLE'), (7, 200, 164, 'SOLO', 'TOP'), (8, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 45, 'SOLO', 'MIDDLE'), (10, 200, 429, 'DUO_CARRY', 'BOTTOM')]"
"[(1, 100, 875, 'DUO_SUPPORT', 'NONE'), (2, 100, 246, 'DUO_SUPPORT', 'NONE'), (3, 100, 236, 'DUO_SUPPORT', 'NONE'), (4, 100, 245, 'DUO_SUPPORT', 'NONE'), (5, 100, 201, 'DUO_SUPPORT', 'NONE'), (6, 200, 112, 'DUO', 'NONE'), (7, 200, 145, 'DUO_SUPPORT', 'NONE'), (8, 200, 267, 'DUO_SUPPORT', 'NONE'), (9, 200, 421, 'DUO_SUPPORT', 'NONE'), (10, 200, 114, 'DUO_SUPPORT', 'NONE')]"
